p2train-0	他 们 觉 得 父 母 的 行 为 方 式 和 价 值 观 念 太 不 老 了 	18 
p2train-198	这 些 都 是 为 了 中 国 和 中 国 人 民 发 展 不 可 缺 少 的 条 件 	5 6 
p2train-199	这 是 一 种 现 代 的 出 现 的 习 惯 	7 
p2train-200	于 是 吃 了 会 有 害 于 人 的 健 康 	1 2 
p2train-201	有 一 点 儿 恨 了 父 母 	6 
p2train-202	你 就 会 饿 死 了 	6 
p2train-203	春 天 开 花 芳 香 的 景 色 也 快 要 结 束 了 	5 6 
p2train-204	多 听 外 国 与 祖 国 的 流 行 歌 曲 就 相 当 等 于 和 外 国 人 交 流 	16 
p2train-205	我 的 知 识 是 非 常 浅 薄 	5 
p2train-206	您 也 会 不 会 生 我 的 气 啊 	2 
p2train-207	流 行 歌 曲 有 很 多 人 的 听 众 	8 
p2train-208	我 之 所 以 爱 钓 鱼 是 因 为 我 父 亲 爱 钓 鱼 的 	17 
p2train-209	吃 一 点 东 西 意 味 着 生 死 问 题 	1 
p2train-210	在 白 白 的 脸 上 多 了 些 皱 纹 	1 
p2train-211	以 取 代 生 活 中 经 常 听 到 的 噪 声 的 方 法 是 	17 
p2train-212	可 是 还 是 会 常 常 见 到 那 些 非 法 之 类 的 行 为 	14 15 
p2train-213	我 觉 得 现 在 的 孩 子 比 以 前 的 孩 子 自 私 得 多 了 	17 
p2train-214	这 个 问 题 并 不 能 说 一 概 而 论 	8 
p2train-215	全 世 界 各 个 国 家 在 共 同 努 力 下 去 	8 
p2train-216	如 果 在 公 共 场 所 边 走 边 抽 烟 的 人 将 被 罚 款 	1 2 
p2train-217	所 以 和 像 这 个 故 事 一 样 两 个 人 都 会 做 	3 
p2train-218	但 家 人 不 同 意 的 	7 
p2train-219	因 光 明 出 普 觉 寺 上 宏 下 船 老 和 尚 的 圆 寂 	15 
p2train-220	我 看 好 了 选 择 学 汉 语 以 后 一 定 有 用 的 	16 
p2train-221	不 像 跟 你 那 样 弱 	3 
p2train-222	我 的 同 学 们 每 星 期 天 跟 父 母 一 起 去 动 物 园 或 者 别 的 游 乐 园 玩 	5 
p2train-223	当 你 正 在 和 朋 友 一 起 玩 儿 的 时 候 	3 4 
p2train-224	所 以 我 们 应 该 一 起 动 手 要 生 产 绿 色 食 品 	11 
p2train-225	我 本 人 是 认 为 男 女 混 合 式 教 育 是 件 无 伤 大 雅 的 事 	4 
p2train-226	我 在 老 家 的 时 候 几 乎 每 天 跟 爸 爸 吵 架 了 	17 
p2train-227	结 婚 的 问 题 上 现 代 子 女 想 的 是 男 子 的 性 格 	6 
p2train-228	这 一 位 老 师 	2 
p2train-229	因 此 他 们 两 之 间 几 乎 没 有 时 间 谈 话 	5 
p2train-230	原 因 正 是 单 一 性 别 的 学 校 一 般 上 表 现 较 为 突 出 	14 
p2train-231	但 我 现 在 大 4 年 级 要 好 好 准 备 走 入 社 会 的 队 伍 	5 
p2train-232	但 这 一 点 大 家 知 道 吧 	1 
p2train-233	一 年 回 家 两 次 了 	7 
p2train-234	我 认 为 这 个 事 情 对 身 体 健 康 更 不 好 着 呢 	16 
p2train-235	这 是 根 据 我 的 经 验 	3 4 
p2train-236	我 也 受 到 父 母 的 影 响 长 大 了 	12 
p2train-237	这 样 吸 烟 是 对 人 们 有 好 处 吗 	5 
p2train-238	是 了 解 男 女 的 身 体 上 的 差 异 和 精 神 上 的 差 异 	1 
p2train-239	以 前 人 们 耕 田 时 最 主 要 目 的 是 尽 量 多 多 生 产 	17 
p2train-240	有 的 同 学 建 议 了 把 那 种 不 好 听 的 噪 声 换 一 下 	7 
p2train-241	歌 曲 会 帮 我 解 闷 的 	8 
p2train-242	不 能 要 发 展 不 好 方 面 	3 
p2train-243	面 临 有 多 的 环 境 问 题 	1 2 
p2train-244	开 心 地 过 了 日 子 	5 
p2train-245	我 是 在 商 业 商 场 已 有 了 三 年 丰 富 的 经 验 	2 
p2train-246	十 和 十 一 这 两 个 月 很 容 易 地 说 错 	12 
p2train-247	我 们 都 很 感 谢 你 们 了 	9 
p2train-248	我 认 为 现 在 绿 色 食 品 是 社 会 发 展 的 应 当 的 需 要 	16 17 18 
p2train-249	要 需 要 不 少 钱 	1 
p2train-250	可 一 股 脑 想 一 想 你 们 和 他 现 在 做 什 么 	2 3 4 
p2train-251	而 且 比 使 用 化 肥 和 农 药 的 食 品 多 好 吃 	14 
p2train-252	以 前 我 小 时 候 不 知 道 了 这 种 双 方 对 话 的 方 法 	10 
p2train-253	当 了 她 的 翻 译 	2 
p2train-254	据 我 来 理 解 	3 
p2train-255	记 得 在 大 学 救 读 华 文 系 时 	6 
p2train-256	她 本 来 是 黑 龙 江 的 人 	8 
p2train-257	现 在 我 来 讲 我 想 的 看 法 和 解 决 的 方 案 	7 
p2train-258	当 过 的 时 间 最 长 的 是 日 语 老 师 	3 
p2train-259	他 们 最 近 没 有 兄 弟 姐 妹 	3 4 
p2train-260	这 次 放 假 的 时 候 我 可 能 不 能 回 去 香 港 	14 
p2train-261	可 问 题 是 这 欲 望 不 是 为 了 人 类 共 同 的 	10 11 
p2train-262	为 了 别 人 做 	2 
p2train-263	因 此 是 值 得 年 轻 人 对 此 深 思 熟 虑 	3 
p2train-264	一 边 儿 在 夜 间 学 校 学 英 语 了 	12 
p2train-265	如 果 父 母 是 不 好 的 话 	5 
p2train-266	庙 里 多 来 了 一 个 新 和 尚 	3 
p2train-267	全 世 界 烟 民 人 口 越 来 越 多 	6 7 
p2train-268	男 女 之 间 不 一 定 是 存 在 着 男 女 朋 友 关 系 	9 10 11 
p2train-269	商 店 也 “ 绿 色 食 品 ” 和 用 了 化 学 用 品 的 农 作 物 两 个 都 卖 	3 
p2train-270	我 爷 爷 也 很 爱 吸 烟 的 	9 
p2train-271	而 女 的 需 要 1 . 7 0 米 高 以 上 , 两 者 需 相 貌 端 正 和 品 行 端 正 	11 
p2train-272	除 了 能 够 了 解 新 加 坡 的 景 点 之 外 	3 4 
p2train-273	这 个 是 我 的 一 个 假 期 	2 
p2train-274	可 是 她 不 爱 上 他 们 	6 
p2train-275	甚 至 一 家 人 都 一 起 吃 饭 的 机 会 也 不 多 	6 
p2train-276	还 有 丈 夫 帮 助 妻 子 的 自 杀 的 问 题 	9 
p2train-277	我 认 为 这 当 然 吃 “ 绿 色 食 品 ” 是 第 一 位 的 	4 
p2train-278	我 感 觉 这 种 的 歌 控 制 我 心 里 的 感 情 	6 
p2train-279	我 生 了 第 一 个 孩 子 的 时 候 完 全 不 知 道 怎 么 照 顾 孩 子 	3 
p2train-280	我 认 为 这 样 的 问 题 有 与 地 球 环 境 有 关 	9 
p2train-281	在 东 京 里 的 一 些 地 区 实 施 了 在 街 上 扔 烟 的 人 被 罚 款 的 法 律 	4 
p2train-282	不 过 上 了 高 中 学 生 后 	7 8 
p2train-283	当 时 我 很 担 心 了 你 的 健 康 	7 
p2train-284	觉 得 自 己 变 得 很 可 怜 了 	10 
p2train-285	我 家 的 一 天 从 这 句 话 来 开 始 	10 
p2train-286	我 是 也 跟 中 国 学 生 一 起 考 专 业 考 试 上 本 科 的 	3 
p2train-287	怎 有 意 思 吗 	1 
p2train-288	好 的 父 母 下 有 好 的 女 儿 	5 
p2train-289	所 以 她 的 孩 子 一 生 下 来 就 死 了 	1 2 
p2train-290	我 想 我 国 小 一 年 纪 的 时 候 第 一 次 写 给 你 们 写 信 吧 	15 
p2train-291	在 大 专 学 涯 里 	4 5 6 
p2train-292	我 觉 得 在 这 样 的 情 况 还 有 几 个 原 因 	4 
p2train-293	诚 实 地 干 于 所 有 的 事 情 	5 
p2train-294	中 老 年 人 一 般 都 不 会 太 大 喜 欢 流 行 歌 曲 	11 
p2train-295	我 与 作 者 都 有 同 样 的 感 受 	5 
p2train-296	就 喜 欢 它 的 歌 曲 	5 6 7 
p2train-297	中 学 生 所 面 对 的 功 课 负 荷 是 比 小 学 时 期 重 得 多 	12 
p2train-298	在 新 的 学 校 我 也 有 算 我 自 己 的 生 活 	9 
p2train-299	代 沟 是 时 代 越 发 展 越 会 严 重 	10 
p2train-300	那 么 这 就 为 往 后 能 否 融 洽 地 相 处 打 下 稳 固 的 基 础 	8 9 
p2train-301	但 令 人 遗 憾 的 是 烟 民 不 顾 周 围 人 的 身 体 健 康 仍 然 吸 着 将 来 可 能 要 他 们 生 命 的 那 香 烟 	34 
p2train-302	同 时 这 些 东 西 全 都 是 通 过 自 己 的 父 母 来 得 到 的 	17 
p2train-303	在 日 本 东 京 街 头 上 能 看 到 一 些 牌 子 	8 
p2train-304	但 是 我 肯 定 会 认 为 每 一 个 人 都 会 想 保 护 自 然 环 境 	14 
p2train-305	吸 烟 者 应 该 按 规 定 上 吸 烟 	9 
p2train-306	我 在 新 疆 旅 游 完 了 以 后 要 回 到 日 本 去 	13 
p2train-307	变 成 一 个 植 物 状 态 的 人 	7 8 9 
p2train-308	因 为 为 了 念 经 和 修 道 时 应 当 需 要 吃 	3 4 
p2train-309	人 们 应 要 听 歌 之 前 确 立 好 自 己 的 观 点 	4 
p2train-310	可 以 说 我 的 妈 妈 是 为 记 对 我 影 响 最 大 的 一 个 人 	9 10 
p2train-311	我 真 希 望 别 人 也 都 学 他 的 这 样 的 精 神 	11 
p2train-312	所 以 好 几 年 以 前 开 始 流 行 的 “ 绿 色 食 品 ” 现 在 已 很 晋 通 化 了 	25 
p2train-313	第 二 类 的 是 通 过 朋 友 “ 介 绍 式 ” 的 交 往 	4 
p2train-314	回 家 又 有 老 师 那 再 好 也 不 过 了 	10 
p2train-315	为 了 保 护 个 人 健 康 和 公 众 利 益 , 应 该 限 制 在 公 共 场 所 的 抽 烟 	24 
p2train-316	大 多 数 人 没 有 挨 饿 的 人 	10 
p2train-317	就 是 人 们 把 用 未 经 污 染 的 农 产 品 加 工 的 食 品 叫 做 “ 绿 色 食 品 ” 	5 
p2train-318	根 本 不 能 理 解 我 的 	8 
p2train-319	那 么 我 期 待 着 等 贵 公 司 的 回 答 	7 
p2train-320	但 她 常 常 抽 个 时 间 来 看 我 	6 
p2train-321	我 的 高 中 学 校 属 于 “ 佛 教 ” 的 	13 
p2train-322	我 也 有 看 外 国 的 广 告 	3 
p2train-323	虽 然 我 参 加 过 别 人 的 婚 礼 但 是 没 想 到 安 排 自 己 的 就 是 一 种 又 辛 苦 又 幸 福 的 过 程 	22 
p2train-324	男 女 生 的 体 格 和 兴 趣 一 般 上 是 不 一 样 的 	12 
p2train-325	每 天 想 家 了 	5 
p2train-326	但 是 实 际 上 也 有 不 是 像 “ 和 尚 ” 的 人 	9 
p2train-327	因 为 这 明 显 地 涉 及 到 一 种 其 社 会 的 一 切 伦 理 与 道 德 思 想 	10 11 12 
p2train-328	我 并 不 会 不 等 他 们 的 解 释 就 发 脾 气 	9 
p2train-329	因 为 烟 会 危 害 被 吸 烟 者 的 健 康 	7 
p2train-330	一 般 上 这 些 “ 月 下 老 人 ” 都 会 本 着 助 人 之 心 	3 
p2train-331	当 许 多 人 知 道 我 是 来 自 新 加 坡 时 	14 
p2train-332	因 为 她 没 有 体 力 不 能 说 话 	8 9 
p2train-333	我 们 会 对 自 己 充 满 了 信 心 	9 
p2train-334	先 了 解 这 样 的 情 况 下 	9 
p2train-335	所 根 据 某 个 市 政 府 出 台 的 一 项 规 定 	1 
p2train-336	从 全 球 世 界 的 角 度 来 看 	2 3 
p2train-337	我 基 本 上 的 意 见 就 是 想 要 抽 烟 就 抽 	4 
p2train-338	常 常 成 为 人 的 失 败 的 原 因 	6 
p2train-339	因 此 将 能 够 全 情 投 入 工 作 	3 
p2train-340	因 为 怎 么 也 找 不 到 工 作 了 	11 
p2train-341	我 觉 得 法 律 是 不 能 拿 决 定 的 	9 
p2train-342	我 在 龙 腾 旅 游 公 司 任 职 为 经 理 	10 11 
p2train-343	因 此 我 们 开 始 生 产 了 “ 绿 色 食 品 ” 	9 
p2train-344	日 本 政 府 进 口 蔬 菜 的 管 理 相 当 严 格 了 	16 
p2train-345	并 曾 任 职 于 新 加 坡 希 尔 顿 酒 店 的 人 事 部 助 理 经 理 两 年 	5 
p2train-346	水 特 别 多 了 	5 
p2train-347	那 时 候 他 们 很 亲 密 的 态 度 和 想 法 来 给 我 好 主 意 	15 
p2train-348	我 的 奶 奶 一 直 住 院 了 	9 
p2train-349	我 认 为 进 行 针 对 性 的 生 产 过 程 是 一 种 办 法 	12 13 
p2train-350	在 公 司 的 我 认 识 的 人 当 中 没 有 一 个 不 喜 欢 她 的 	4 
p2train-351	孩 子 的 成 绩 不 太 好 的 时 也 是 	9 
p2train-352	我 心 非 常 安 心 	2 
p2train-353	最 近 青 少 年 的 吸 烟 越 来 越 多 	6 
p2train-354	所 以 听 说 很 难 找 到 工 作 	1 2 
p2train-355	不 喝 水 是 不 是 人 类 做 的 事 	4 
p2train-356	我 认 为 吸 烟 不 吸 烟 是 由 每 个 人 决 定 的 事 情 	11 
